Task,Dataset,Dialect,CAMeLBERT-MSA,CAMeLBERT-DA,CAMeLBERT-MIX,SaudiBERT,EgyBERT,DarijaBERT,DziriBERT,AraRoBERTa-SA,AraRoBERTa-EGY,AraRoBERTa-OM,AraRoBERTa-JO,AraRoBERTa-LB,AraRoBERTa-DZ
NER,ACDNER,Egypt,0.5194767325982794,0.3616414816196078,0.4732842666122037,,0.49299973749397574,,,,0.21633654491756824,,,,
NER,CLEANANERcorp,MSA,0.669313386264683,0.5780269817698697,0.6576993980598145,,,,,,,,,,
NER,DarNERcorp,Morocco,0.5750680870811428,0.46051111592701016,0.5020881429239342,,,0.4251049132139232,,,,,,,
NER,DzNER,Algeria,0.5449949452472581,0.47888407888407886,0.486404711274406,,,,0.6221693839647722,,,,,,0.4000791116681603
NER,MADAR,Oman,0.45780590717299574,0.48228748097686497,0.5780723905723906,,,,,,,0.3057183557183557,,,
NER,MADAR,Saudi,0.5635258838383839,0.37438423645320196,0.3789611930181325,0.4345053395123917,,,,0.34175283606063644,,,,,
NER,Wojood,Jordan,0.45296061738648946,0.4767742144616848,0.5331522481891486,,,,,,,,0.26059767000992684,,
NER,Wojood,Lebanon,0.2622852731132986,0.24743167280480716,0.33143740112578646,,,,,,,,,0.16104121572871574,
POS,Camel,MSA,0.7847753052138103,0.7837832501416754,0.907029767787688,,,,,,,,,,
POS,Gumar,Oman,0.5755128164118313,0.6239165758748276,0.7162111701089061,,,,,,,0.5250241165232483,,,
POS,Gumar,Saudi,0.703241067638357,0.6036642542015256,0.642961434257802,0.5628868534002797,,,,0.5719452343563146,,,,,
POS,NArabizi,Algeria,0.8104288421465878,0.8045608987756603,0.8160102925884817,,,,0.8709056144522962,,,,,,0.6552718946917309
POS,QCRI,Egypt,0.4172835501804476,0.4333543176636782,0.4281175492897043,,0.48823627163573513,,,,0.37672456201061216,,,,
POS,QCRI,Morocco,0.4585901308712341,0.44543981241765956,0.4911452072548055,,,0.40156093407455495,,,,,,,
POS,Shami,Jordan,0.48807901315449637,0.48609345342437116,0.528508610521381,,,,,,,,0.32305538108215565,,
POS,Shami,Lebanon,0.5238039982657549,0.515995959251065,0.430536056948004,,,,,,,,,0.33290697239402556,
Sentiment,AET,Egypt,0.8062307692307692,0.8173950249917343,0.8070224719101123,,0.85665825340737,,,,0.7491785323110625,,,,
Sentiment,DZYT,Algeria,0.8813630869006275,0.925764192139738,0.8978095108748375,,,,0.9037079510703364,,,,,,0.7827787134367075
Sentiment,JHSC,Jordan,0.659330180042722,0.6837816286442228,0.6650458570524984,,,,,,,,0.5216824758072243,,
Sentiment,LABR,MSA,0.8294862248696947,0.8374234894564154,0.7967037208584221,,,,,,,,,,
Sentiment,L_HSAB,Lebanon,0.7877578981302386,0.803061575507396,0.800283946861373,,,,,,,,,0.6164624183006536,
Sentiment,MARSA,Oman,0.8870296189592912,0.9417929416365236,0.9155817698531267,,,,,,,0.8195204911232785,,,
Sentiment,MARSA,Saudi,0.8990706141611574,0.9114325495049505,0.921395881006865,0.9516664428113668,,,,0.8674154701250578,,,,,
Sentiment,MYC,Morocco,0.7640796703296704,0.8209060562708632,0.8089482159833918,,,0.8209606986899564,,,,,,,
